match_id,match_date,competition,season,home_team,away_team,home_score,away_score,home_combined_delta,away_combined_delta,net_delta,bet_side,predicted_team,success,actual_home_xg,actual_away_xg
3890362,2015-11-07,1. Bundesliga,2015/2016,Hoffenheim,Eintracht Frankfurt,0,0,-0.41876501700556557,-0.8381415867835458,0.4193765697779802,home,Hoffenheim,False,0.717274472,1.5692731297
3890363,2015-11-07,1. Bundesliga,2015/2016,Borussia Mönchengladbach,Ingolstadt,0,0,-0.01790298999466436,-0.7326066619546144,0.7147036719599501,home,Borussia Mönchengladbach,False,0.9676561402999999,0.8772207559999999
3900506,2015-11-07,Ligue 1,2015/2016,Stade de Reims,Gazélec Ajaccio,1,2,-0.14850416288466198,-0.6767656882672918,0.5282615253826298,home,Stade de Reims,False,1.419055433,0.6156448375000001
3754258,2015-11-08,Premier League,2015/2016,Aston Villa,Manchester City,0,0,-0.07479522901505459,0.7268740882636531,-0.8016693172787077,away,Manchester City,False,0.16851418,1.846431137
3825660,2015-11-08,La Liga,2015/2016,Barcelona,Villarreal,3,0,0.5985405099491157,0.1086184112872462,0.4899220986618695,home,Barcelona,True,2.8698440179999998,0.326007116
3825661,2015-11-08,La Liga,2015/2016,Sevilla,Real Madrid,3,2,-0.41158933495546846,0.08822161902546943,-0.4998109539809379,away,Real Madrid,False,1.997961739,1.6335390500000007
3879610,2015-11-08,Serie A,2015/2016,AS Roma,Lazio,2,0,0.5756278399218286,0.09629390116353789,0.4793339387582908,home,AS Roma,True,2.6235125396999996,1.085694811
3879613,2015-11-08,Serie A,2015/2016,Empoli,Juventus,1,3,0.011476918235369976,0.7769182968155132,-0.7654413785801432,away,Juventus,True,0.49020664900000005,1.9832578805
3879615,2015-11-08,Serie A,2015/2016,Sassuolo,Carpi,1,0,-0.7293178969860882,0.06355424931396118,-0.7928721463000493,away,Carpi,False,0.821451701,0.21109852699999998
3879616,2015-11-08,Serie A,2015/2016,Sampdoria,Fiorentina,0,2,0.4180151282700578,-0.005264115958110865,0.4232792442281687,home,Sampdoria,False,0.30498653800000003,2.5856641920000003
